green-deal-certification-body	name	green-deal-licensed	company	address	green-deal-technology	start-date	end-date
7576	APHC Certification	yes	6776455		005;006;008;023;009;024;026;027;001;028;031	06/08/2013	
125	Benchmark Certification	yes	10593870		004;005;006;007;012;019;023;009;024;026;027;001;031;032	25/04/2013	
6301	Blueflame Certification	yes	5182566		011;012;013;014;015;016;017;018;019;020;021;022;023;009;024;025;026;027;001;028;029;030;031;032;033;034;035;036	07/08/2013	
5953	BRE Global	yes	3548352		010;002;003;004;005;006;007;008	06/08/2013	
6018	British Board of Agrément	yes	878293		011;012;013;014;015;016;017;018;019;020	06/08/2012	
5949	BSI	yes			002;010;011;012;013;014;015;016;017;018;019;020;023;009;024;025;026;027;001;031;032;034;035	06/08/2012	
7768	Cavity Insulation Guarantee Agency	no	3044131		011	18/07/2018	
7574	Certass	yes	4350234		012;013;014;016;018;019	06/08/2012	
ELC 7975	Certsure LLP trading as ELECSA	yes	OC379918		003;004;005;006;007;008;011;012;013;014;015;016;017;018;019;020;023;009;024;025;026;027;001;031;032;034;035	21/12/2012	
NIC 7975	Certsure LLP trading as NICEIC	yes	OC379918		002;010;003;004;005;006;007;008;011;012;013;014;015;016;017;018;019;020;023;009;024;025;026;027;001;031;032;034;035	06/08/2012	
7717	CompetentRoofer	yes	5704588		015;020	18/07/2013	
7573	ECMK	yes	4701167		002;010;002	06/08/2012	
7577	Elmhurst Energy Systems	yes	2805846		002;010;002	06/08/2012	
5957	Exova (UK) ta Exova BM TRADA	yes	SC070429		013	06/08/2013	
7579	FENSA	yes	3058561		013	06/08/2012	
4630	HETAS	no	2117828		008	18/07/2012	
4358	NAPIT	yes			005;006;011;012;013;014;015;016;017;018;019;020;021;022;023;009;024;025;026;027;001;028;029;030;031;032;033;034;035;036	06/08/2012	
7634	Network VEKA	yes	4029350		013	18/07/2013	
6075	Ocean Certification	yes	4200667		011;012;013;014;015;016;017;018;019;020;021;022;023;009;024;025;026;027;001;028;029;030;031;032;033;034;035;036	12/06/2012	
6700	OFTEC	yes	8418595		024;026;027;001;028;031;032;033	06/08/2012	
4641	Stroma Certification	yes	6429016		002;010;002;003;004;005;006;007;008;011;012;013;014;015;016;017;018;019;020;023;009;024;025;026;027;001;031;032;034;035	21/08/2012	
