"Certification ID","Organisation Name","Date Authorised","Status","Reason for status change","Status effective from date","Measures offered"
"NICI01409","Clique Energy Ltd","12/05/2017","Authorised","initial authorisation","12/05/2017","External wall insulation systems"
"STRI15089","Park Home Energy Ltd","12/05/2017","Authorised","initial authorisation","12/05/2017","External wall insulation systems"
"STRI14917","Domestic Utilities Service LTD","12/05/2017","Authorised","initial authorisation","12/05/2017","Under-floor insulation"
"STRI14866","Kooka Developments","12/05/2017","Authorised","initial authorisation","12/05/2017","External wall insulation systems"
"STRI15004","Anstee Environmental Ltd","12/05/2017","Authorised","initial authorisation","12/05/2017","Oil-fired condensing boilers"
"BBAI9249","Green Eco Company","04/05/2017","Authorised","re-authorised","11/05/2017","Cavity wall insulation"
"OCEI24517","Surrey Construction Limited","09/05/2017","Authorised","initial authorisation","09/05/2017","External wall insulation systems"
"NICI01408","V.Scorici.Ltd","05/05/2017","Authorised","initial authorisation","05/05/2017","External wall insulation systems,Loft or rafter insulation (including loft hatch insulation)"
"NAPI28540","Thermabead Limited","02/05/2017","Authorised","initial authorisation","02/05/2017","Cavity wall insulation"
"STRI14922","Concordia Homes (UK) Ltd","27/04/2017","Authorised","initial authorisation","27/04/2017","External wall insulation systems"
"BBAI9238","Willmar Holdings Limited","24/04/2017","Authorised","re-authorised","27/04/2017","Cavity wall insulation"
"BFCI0652","Seal Energy Ltd","19/04/2016","Withdrawn","ceased trading","26/04/2017","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Heating ventilation and air-conditioning controls (including zoning controls),Hot water controls (including timers and temperature control)"
"OCEI24317","Gas Compliance Ltd","21/04/2017","Authorised","initial authorisation","21/04/2017","Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Hot water controls (including timers and temperature control),Hot water cylinder insulation,Oil-fired condensing boilers,Pipe-work insulation"
"NICI01407","Colin Laver Heating Ltd","21/04/2017","Authorised","initial authorisation","21/04/2017","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Oil-fired condensing boilers,Pipe-work insulation,MCS Certificated?,Heating controls (for wet central heating system and warm air sy"
"NICI01406","Green Homes Energy Ltd","21/04/2017","Authorised","initial authorisation","21/04/2017","Cavity wall insulation,Loft or rafter insulation (including loft hatch insulation)"
"OCEI24417","Affordable Gas and Heating Services","18/04/2017","Authorised","initial authorisation","20/04/2017","Gas-fired condensing boilers,Hot water controls (including timers and temperature control),Hot water systems (efficient)"
"STRI14718","Q-Bot Limited","18/04/2017","Authorised","initial authorisation","18/04/2017","Under-floor insulation"
"STRI14799","Insulated Cladding Systems Ltd","18/04/2017","Authorised","initial authorisation","18/04/2017","External wall insulation systems"
"BBAI9231","Smart Energy Insulation NW Ltd","10/04/2017","Authorised","re-authorised","13/04/2017","Cavity wall insulation"
"BBAI9244","Manchester Independent Surveying Agency","16/03/2017","Authorised","re-authorised","13/04/2017","Cavity wall insulation"
"STRI12061","Shelter 4 Green Deal Ltd","07/04/2017","Authorised","initial authorisation","07/04/2017","Internal wall insulation (of external walls) systems"
"OCEI24117","Zero Carbon Ltd","07/04/2017","Authorised","initial authorisation","07/04/2017","Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Hot water controls (including timers and temperature control),Oil-fired condensing boilers"
"OCEI24217","Online Contractors (UK) Limited","05/04/2017","Authorised","initial authorisation","05/04/2017","Roof insulation"
"NAPI28845","Hewer Facilities Management Ltd","12/07/2013","Authorised","initial authorisation","29/03/2017","Biomass boilers,Ground source heat pumps,Photovoltaics,Air source heat pumps,MCS Certificated?"
"NAPI28869","Yorkshire Energy Systems Ltd","03/05/2013","Authorised","initial authorisation","29/03/2017","Ground source heat pumps,Photovoltaics,Solar water heating,Air source heat pumps,MCS Certificated?"
"NAPI28918","Nextgen Energy Solutions Ltd T/A 365 Solar","23/05/2014","Authorised","initial authorisation","29/03/2017","Biomass boilers,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Heating ventilation and air-conditioning controls (including zoning controls),Hot water controls (including timers and temperature control),Loft or rafter insulation (including loft hatch insulation),Oil-fired condensing boilers,Photovoltaics,Under-floor heating,MCS Certificated?"
"NAPI28922","Green Pulse Energy Limited","07/11/2014","Authorised","initial authorisation","29/03/2017","Photovoltaics,Air source heat pumps,MCS Certificated?"
"NAPI28932","Eversmart Ltd","07/11/2014","Authorised","initial authorisation","29/03/2017","Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Oil-fired condensing boilers"
"NAPI28827","Solar Plants Ltd","22/05/2015","Authorised","initial authorisation","29/03/2017","Biomass boilers,Photovoltaics,MCS Certificated?"
"NAPI28954","Warm Energy Ltd","07/08/2015","Authorised","initial authorisation","29/03/2017","Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Heating ventilation and air-conditioning controls (including zoning controls),Loft or rafter insulation (including loft hatch insulation)"
"NICI01405","National Eco Solutions Ltd","24/03/2017","Authorised","initial authorisation","24/03/2017","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Loft or rafter insulation (including loft hatch insulation),Oil-fired condensing boilers,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"APH46869","Neal James Plumbing & Heating Ltd","17/03/2017","Authorised","initial authorisation","24/03/2017","Oil-fired condensing boilers"
"APH46916","KSB Projects Ltd","17/03/2017","Authorised","initial authorisation","24/03/2017","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Oil-fired condensing boilers"
"STRI14963","Gas-Elec Safety Systems Limited t/a ECO-Energi","20/03/2017","Authorised","initial authorisation","20/03/2017","Gas-fired condensing boilers"
"NICI01404","Dual Fuel Solutions","17/03/2017","Authorised","initial authorisation","17/03/2017","Fan-assisted replacement storage heaters"
"STRI14749","Barrie Curtis Plastering Ltd","14/03/2017","Authorised","initial authorisation","14/03/2017","External wall insulation systems"
"NAPI27104","Oakes Energy Services Ltd","27/09/2013","Authorised","initial authorisation","10/03/2017","Biomass boilers,Gas-fired condensing boilers,Ground source heat pumps,Oil-fired condensing boilers,Photovoltaics,Solar water heating,Air source heat pumps,MCS Certificated?"
"BBAI9210","Thomas Niamh Contracting Ltd","30/08/2016","Authorised","re-authorised","09/03/2017","External wall insulation systems"
"BBAI8988","SERS Energy Solutions Ltd","01/02/2017","Authorised","re-authorised","09/03/2017","External wall insulation systems"
"NAPI29010","Keith Reid Plumbing","07/03/2017","Authorised","initial authorisation","07/03/2017","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Heating ventilation and air-conditioning controls (including zoning controls),Hot water controls (including timers and temperature control)"
"NAPI28567","Tucker & Tunstalls Limited","07/03/2017","Authorised","initial authorisation","07/03/2017","Roof insulation"
"NICI01403","Superior Solutions Scotland Ltd","03/03/2017","Authorised","initial authorisation","03/03/2017","Fan-assisted replacement storage heaters"
"NICI01402","Lux Carbon Services Ltd","03/03/2017","Authorised","initial authorisation","03/03/2017","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Loft or rafter insulation (including loft hatch insulation),Heating controls (for wet central heating system and warm air sy"
"NAPI12345","Big Bobs Boilers","01/03/2017","Authorised","initial authorisation","02/03/2017","Biomass boilers,Biomass room heaters (including with radiators),Cavity wall insulation,Chillers,Cylinder thermostats,Draught proofing,Duct insulation,External wall insulation systems,Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Heating ventilation and air-conditioning controls (including zoning controls),High performance external doors,Hot water controls (including timers and temperature control),Hot water cylinder insulation,Hot water showers (efficient),Air source heat pumps"
"NAPI28616","Bear Build","28/02/2017","Authorised","initial authorisation","28/02/2017","External wall insulation systems"
"NAPI18958","Skyline Solar Ltd","23/02/2017","Authorised","initial authorisation","23/02/2017","Photovoltaics,MCS Certificated?"
"NAPI28488","Easy-Rock Loft Insulations Limited","22/02/2017","Authorised","initial authorisation","22/02/2017","Loft or rafter insulation (including loft hatch insulation)"
