"Provider ID","Organisation Name","Date Authorised","Status","Reason for status change","Status effective from date","Measures offered"
"GDPA662","Simply Eco Ltd","","Authorised","initial authorisation","02/05/2017","Non-domestic"
"GDPA660","Carbon Savings Ltd","","Authorised","initial authorisation","02/05/2017","Domestic,Non-domestic,Green Deal Finance Plan"
"GDPA659","Synerg Energy Solutions","","Authorised","initial authorisation","02/05/2017","Non-domestic"
"GDPA658","Thrift Energy Ltd","","Authorised","initial authorisation","02/05/2017","Non-domestic"
"GDPA657","Valley Heating Services Limited","","Authorised","initial authorisation","27/10/2016","Domestic,Non-domestic,Green Deal Finance Plan"
"GDPA516","Green Deal and Eco Funding Ltd","","Authorised","initial authorisation","23/08/2016","Non-domestic,Green Deal Finance Plan"
"GDPA340","AOS Energy Efficient Heating Systems Limited","","Withdrawn","voluntary withdrawal","14/06/2016","Domestic,Non-domestic,Cylinder thermostats,Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Hot water showers (efficient),Hot water systems (efficient),Micro combined heat and power,Photovoltaics,Pipe-work insulation,Radiant heating,Solar water heating,Under-floor heating,Air source heat pumps,Warm-air units,Green Deal Finance Plan"
"GDPA655","Ecotec (UK) Limited","","Authorised","initial authorisation","31/03/2016","Non-domestic"
"GDPA654","Golden Globe Merchants Limited","","Authorised","initial authorisation","17/03/2016","Non-domestic"
"GDPA652","Origin UK Energy Services Ltd T/A Origin Energy Services","","Authorised","initial authorisation","01/03/2016","Non-domestic"
"GDPA653","Lux Carbon Services Ltd","","Authorised","initial authorisation","01/03/2016","Domestic,Non-domestic"
"GDPA651","Liberty Energy Organisation Ltd","","Authorised","initial authorisation","15/02/2016","Domestic,Non-domestic,Green Deal Finance Plan"
"GDPA648","Green Hut Energy Ltd","","Authorised","initial authorisation","05/02/2016","Domestic,Non-domestic"
"GDPA650","The Green Provider Ltd","","Authorised","initial authorisation","03/02/2016","Domestic,Non-domestic"
"GDPA649","Eco Solutions (UK) Ltd","","Authorised","initial authorisation","03/02/2016","Non-domestic"
"GDPA647","Green Deal Provider Funding Ltd","","Authorised","initial authorisation","03/02/2016","Non-domestic"
"GDPA641","Sustain Energy (UK) Ltd","","Authorised","initial authorisation","21/08/2015","Domestic,Non-domestic"
"GDPA604","Warm Front Limited","","Authorised","initial authorisation","21/08/2015","Domestic,Non-domestic"
"GDPA626","Southern Energy Solutions (Green Deal) Ltd","","Authorised","Initial authorisation","02/04/2015","Non-domestic,England,Wales"
"GDPA579","Green Deal Initiative Ltd","","Authorised","Initial authorisation","02/04/2015","Domestic,Non-domestic,England,Scotland,Wales"
"GDPA631","Green Deal Consortia Ltd","","Authorised","Initial authorisation","31/03/2015","Domestic,Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales"
"GDPA529","Volkerlaser Ltd","","Authorised","Initial authorisation","12/03/2015","Non-domestic,England,Scotland,Wales"
"GDPA625","Astute Motoring Limited T/A Astute Funding","","Authorised","Initial authorisation","12/03/2015","Non-domestic,England,Scotland"
"GDPA636","Green Leaf Homes Ltd","","Authorised","Initial authorisation","12/03/2015","Domestic,Non-domestic,England,Scotland,Wales,Green Deal Finance Plan"
"GDPA605","New Eco Developments Ltd","","Authorised","Initial authorisation","12/03/2015","Domestic,Non-domestic,England,Wales"
"GDPA632","Green Funding Ltd","","Authorised","Initial authorisation","12/03/2015","Non-domestic,England,Scotland,Wales"
"GDPA493","Sustainable Simple Energy Ltd","","Authorised","Initial authorisation","12/03/2015","Domestic,Green Deal Cashback Scheme,England,Scotland,Wales"
"GDPA566","Green Deal Upgrade Ltd","","Authorised","Initial authorisation","27/01/2015","Domestic,Non-domestic,England,Scotland,Wales"
"GDPA580","Consumer Financial Ltd","","Authorised","Initial authorisation","15/01/2015","Domestic,Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales"
"GDPA610","MW Heating and Plumbing Ltd","","Authorised","Initial authorisation","16/12/2014","Domestic,Non-domestic,England,Scotland,Wales"
"GDPA513","Eco Home Alternatives Ltd","","Authorised","Initial authorisation","14/11/2014","Domestic,Non-domestic,England,Scotland,Wales"
"GDPA429","Central Gas Maintenance Ltd  T/A Heatserve","","Authorised","Initial authorisation","24/10/2014","Domestic,Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales"
"GDPA620","Green Deal First Ltd","","Authorised","Initial authorisation","24/10/2014","Non-domestic,England,Scotland,Wales"
"GDPA547","BTU (Installation & Maintenance) Ltd","","Authorised","Initial authorisation","24/10/2014","Domestic,Non-domestic,England"
"GDPA477","Fusion Radiators Limited","","Authorised","Initial authorisation","24/10/2014","Non-domestic,England,Scotland,Wales"
"GDPA578","Green Deal Providers Scotland Limited","","Authorised","Initial authorisation","24/10/2014","Domestic,Non-domestic,England,Scotland,Wales"
"GDPA548","Everwarm Ltd","","Authorised","Initial authorisation","24/10/2014","Non-domestic,England,Scotland,Wales"
"GDPA504","Heatwave Energy Funding Limited","","Authorised","Initial authorisation","24/10/2014","Non-domestic,England"
"GDPA498","Green Eco Grants Ltd","","Authorised","Initial authorisation","24/10/2014","Domestic,England,Scotland,Wales"
"GDPA438","Apex Green Ltd","","Authorised","Initial authorisation","24/10/2014","Domestic,Non-domestic,Green Deal Cashback Scheme,Cavity wall insulation,External wall insulation systems,Loft or rafter insulation (including loft hatch insulation),England,Scotland,Wales,Green Deal Finance Plan"
