Company	Company Type	Provider/Cert. ID	Website	Phone Number	more_info
Green Deal Providers Scotland Limited	Provider	GDPA578	TBC	01236 626364	/index.php?option=com_content&view=article&id=136&provider_id=7000
Eco Home Alternatives Ltd	Provider	GDPA513	www.ecohomealternatives.com	0191 5166722	/index.php?option=com_content&view=article&id=136&provider_id=7061
Ipex Investments Ltd	Provider	GDPA237	capital-energy.co.uk/	01506 437212	/index.php?option=com_content&view=article&id=136&provider_id=410
AG Energy Solutions Ltd	Provider	GDPA490	www.agenergy.co.uk	01494 534736	/index.php?option=com_content&view=article&id=136&provider_id=494
Effective Energy Solutions Limited T/A Effective Energy	Provider	GDPA298	www.effective-energy.co.uk	01909 511230	/index.php?option=com_content&view=article&id=136&provider_id=418
Enhance Energy Solutions Ltd	Provider	GDPA239	www.enhanceenergy.co.uk	01792 650001	/index.php?option=com_content&view=article&id=136&provider_id=411
Jewson Limited t/a Greenworks	Provider	GDPA170	www.greenworks.co.uk	08448 922246	/index.php?option=com_content&view=article&id=136&provider_id=390
Valley Heating Services Limited	Provider	GDPA657	www.vhsgroup.co.uk/	07903434962	/index.php?option=com_content&view=article&id=136&provider_id=8877
Neil Pittam Electrical Installations Ltd t/a U need Energy	Provider	GDPA188	www.uneedenergy.co.uk	0800 012 4749	/index.php?option=com_content&view=article&id=136&provider_id=395
Eco Deal Ltd	Provider	GDPA328	www.eco-deal.co.uk	0800 644 0444	/index.php?option=com_content&view=article&id=136&provider_id=445
BE Thinking Ltd	Provider	GDPA154	www.inteb.co.uk	01772 977 287	/index.php?option=com_content&view=article&id=136&provider_id=383
2 Red Ltd	Provider	GDPA353	www.2red.co.uk	0303 031 0001	/index.php?option=com_content&view=article&id=136&provider_id=439
EcoJoules Ltd	Provider	GDPA412	www.ecojoules.co.uk	02070 933440	/index.php?option=com_content&view=article&id=136&provider_id=465
Elliott Brothers Limited	Provider	GDPA241	www.elliotts.uk.com	02380 385 339	/index.php?option=com_content&view=article&id=136&provider_id=427
Complete Plumbing Clean Energy Ltd	Provider	GDPA265	www.cpce.co	0208 670 9538	/index.php?option=com_content&view=article&id=136&provider_id=436
The Insulation Company Ltd T/A Tic Green Energy	Provider	GDPA560	www.ticgreenenergy.com	01325 354404	/index.php?option=com_content&view=article&id=136&provider_id=512
Efficient Finance (UK) Ltd	Provider	GDPA518	www.efficientfinanceuk.co.uk	01274 317217	/index.php?option=com_content&view=article&id=136&provider_id=506
Southern Energy Solutions (Green Deal) Ltd	Provider	GDPA626	www.sesgroupltd.com	0800 6128429	/index.php?option=com_content&view=article&id=136&provider_id=7458
G & J Hamptons Ltd T/A Windows Plus	Provider	GDPA159	www.windows-plus.co.uk	02476 230222	/index.php?option=com_content&view=article&id=136&provider_id=472
Northern Gas Heating Ltd	Provider	GDPA468	www.northerngasheating.com	08444 14 10 60	/index.php?option=com_content&view=article&id=136&provider_id=489
Green Deal Upgrade Ltd	Provider	GDPA566	www.greendealupgrade.co.uk	08007797765	/index.php?option=com_content&view=article&id=136&provider_id=7212
Pacifica Home Services Limited	Provider	GDPA399		0800 888 6120	/index.php?option=com_content&view=article&id=136&provider_id=481
Volkerlaser Ltd	Provider	GDPA529	www.volkerlaser.co.uk	01905361700	/index.php?option=com_content&view=article&id=136&provider_id=7301
One Stop Energy Ltd	Provider	GDPA447	www.onestopenergy.co.uk	08006118377	/index.php?option=com_content&view=article&id=136&provider_id=497
Central Gas Maintenance Ltd  T/A Heatserve	Provider	GDPA429	www.heatserve.uk.com	01902 858476	/index.php?option=com_content&view=article&id=136&provider_id=7004
Energy Trust	Provider	GDPA164	www.energy-trust.co.uk	0333 012 0002	/index.php?option=com_content&view=article&id=136&provider_id=387
Warmfill Isle of Man Limited T/A Warmfill	Provider	GDPA397	www.warmfill.com	02828 270319	/index.php?option=com_content&view=article&id=136&provider_id=476
Wise Energy Solutions Ltd	Provider	GDPA242	www.gdesuk.co.uk	0845 154 0336	/index.php?option=com_content&view=article&id=136&provider_id=412
GZ Energy Solutions Ltd	Provider	GDPA238	www.GZEnergySolutions.co.uk	0141 280 0100	/index.php?option=com_content&view=article&id=136&provider_id=503
MEB Total Limited	Provider	GDPA153	www.mebtotal.co.uk	08452 263233	/index.php?option=com_content&view=article&id=136&provider_id=382
Thrift Energy Ltd	Provider	GDPA658	www.thriftenergy.co.uk/	0191 487 5545	/index.php?option=com_content&view=article&id=136&provider_id=9554
Home Energy and Lifestyle Management Limited	Provider	GDPA116	www.thegreendealpig.com	0141 248 8339	/index.php?option=com_content&view=article&id=136&provider_id=360
Polyramek Energy Limited	Provider	GDPA181	www.polyramek.co.uk	0207 977 0010	/index.php?option=com_content&view=article&id=136&provider_id=394
BTU (Installation & Maintenance) Ltd	Provider	GDPA547	www.btu-group.com	01483 590690	/index.php?option=com_content&view=article&id=136&provider_id=7002
Domestic Green Energy Limited	Provider	GDPA256	www.domesticgreenenergy.co.uk	01204375792	/index.php?option=com_content&view=article&id=136&provider_id=426
Herbert T Forrest Ltd	Provider	GDPA197	www.forrest.co.uk	0845 6342750	/index.php?option=com_content&view=article&id=136&provider_id=450
Aura Gas Ltd T/A Aura Energy	Provider	GDPA555	www.aura-energy.co.uk	02392 252171	/index.php?option=com_content&view=article&id=136&provider_id=511
Green Hut Energy Ltd	Provider	GDPA648	www.greenhutenergy.co.uk	0151 5561977	/index.php?option=com_content&view=article&id=136&provider_id=8640
Apex Green Ltd	Provider	GDPA438	www.apexgreen.co.uk	0800 505 3236 / 0796 8855 594	/index.php?option=com_content&view=article&id=136&provider_id=6996
FITGAS Limited	Provider	GDPA122	www.fitgas.co.uk	01704 832282	/index.php?option=com_content&view=article&id=136&provider_id=365
AOS Energy Efficient Heating Systems Limited	Provider	GDPA340	www.aosheating.co.uk	01992 628671	/index.php?option=com_content&view=article&id=136&provider_id=8776
The Green Provider Ltd	Provider	GDPA650	www.thegreenprovider.co.uk	01216672960	/index.php?option=com_content&view=article&id=136&provider_id=8632
Property and Training Solutions Ltd T/A Green Deal Central	Provider	GDPA128	www.greendealcentral.com	08456 011361	/index.php?option=com_content&view=article&id=136&provider_id=369
Sustain Ltd	Provider	GDPA379	www.sustain.co.uk	01934 863650	/index.php?option=com_content&view=article&id=136&provider_id=464
Larkfleet Limited	Provider	GDPA344	www.larkfleetgroup.co.uk	01778 21 607	/index.php?option=com_content&view=article&id=136&provider_id=485
The Minel Group Ltd	Provider	GDPA373	www.minel-energy.com	01912 330567	/index.php?option=com_content&view=article&id=136&provider_id=456
Liberty Energy Organisation Ltd	Provider	GDPA651	www.libertyenergyorganisation.co.uk	07748800116	/index.php?option=com_content&view=article&id=136&provider_id=8644
Green Deal Advice 247	Provider	GDPA366	www.greendealadvice247.co.uk	0800 334 5509	/index.php?option=com_content&view=article&id=136&provider_id=448
Act on Carbon Limited	Provider	GDPA542	www.actoncarbon.co.uk	01246573483	/index.php?option=com_content&view=article&id=136&provider_id=509
Willmott Dixon Energy Services Limited	Provider	GDPA226	www.willmottdixongroup.co.uk		/index.php?option=com_content&view=article&id=136&provider_id=406
thegreendealshop.com Ltd	Provider	GDPA131	www.greendealshop.com	01492 588282	/index.php?option=com_content&view=article&id=136&provider_id=370
Kent Trade Frames Ltd	Provider	GDPA178	www.kent-tradeframes.co.uk	01795 431600	/index.php?option=com_content&view=article&id=136&provider_id=393
Simply Eco Ltd	Provider	GDPA662	www.simplyecoltd.co.uk	0121 667 9772	/index.php?option=com_content&view=article&id=136&provider_id=9557
Foster Renewable Energies Ltd	Provider	GDPA435	www.fre-ltd.co.uk	01945 466 660	/index.php?option=com_content&view=article&id=136&provider_id=474
Servicetotal Limited	Provider	GDPA136	www.servicetotal.co.uk	01792 879697	/index.php?option=com_content&view=article&id=136&provider_id=373
Green Deal Together T/A Green Homes Together	Provider	GDPA322	www.greendealtogether.org.uk	0300 1113330	/index.php?option=com_content&view=article&id=136&provider_id=460
Inbuild Solutions Limited	Provider	GDPA454	www.essexinsulation.co.uk	0844 888 7010	/index.php?option=com_content&view=article&id=136&provider_id=478
Green Deal and Eco Funding Ltd	Provider	GDPA516	www.greendealandecofunding.com	01706 878816	/index.php?option=com_content&view=article&id=136&provider_id=8836
Quodox Energy Ltd	Provider	GDPA492	www.quodox.co.uk	02089085141	/index.php?option=com_content&view=article&id=136&provider_id=495
British Gas Finance Limited	Provider	GDPA585	www.britishgas.co.uk	0800 294 5298	/index.php?option=com_content&view=article&id=136&provider_id=518
Domestic & General Heating Ltd	Provider	GDPA540	www.gasheatinginstallers.com	01902 405000	/index.php?option=com_content&view=article&id=136&provider_id=504
Green Deal Savings Ltd	Provider	GDPA246	www.greendealsavingsltd.co.uk	0845 835 0606	/index.php?option=com_content&view=article&id=136&provider_id=429
Solar-City (UK) Ltd T/A Green Light Green Deal	Provider	GDPA138	www.greenlightgreendeal.co.uk	03303 230168	/index.php?option=com_content&view=article&id=136&provider_id=374
Rural Green Deal Ltd	Provider	GDPA559	www.Ruralgreendeal.co.uk	01962 896197	/index.php?option=com_content&view=article&id=136&provider_id=514
Green Funding Ltd	Provider	GDPA632	www.greenfundingltd.co.uk	0161 643 2125	/index.php?option=com_content&view=article&id=136&provider_id=7296
Acrobat Carbon Services Ltd	Provider	GDPA307	www.acrobat.uk.com	0161 654 3640	/index.php?option=com_content&view=article&id=136&provider_id=419
EDF Energy Customers PLC	Provider	GDPA227	www.edfenergy.com		/index.php?option=com_content&view=article&id=136&provider_id=407
The National EPC Company Limited T/A One Green Place	Provider	GDPA458	www.nepcco.co.uk	01625 415 434	/index.php?option=com_content&view=article&id=136&provider_id=508
UKSS Renewable Energy Services Limited	Provider	GDPA360	www.renewableenergyservices.co.uk	01782 285888	/index.php?option=com_content&view=article&id=136&provider_id=453
Work Work Ltd	Provider	GDPA248	www.workworkltd.com	02089027290	/index.php?option=com_content&view=article&id=136&provider_id=422
A & M Energy Solutions Limited	Provider	GDPA252	www.am-energy.com	01744 886111	/index.php?option=com_content&view=article&id=136&provider_id=440
Anesco Limited	Provider	GDPA114	www.anesco.co.uk	01189 702595	/index.php?option=com_content&view=article&id=136&provider_id=359
