improvement	qualifying-energy-improvement	specified-energy-efficiency-improvement
Air source heat pumps	air source heat pumps	air source heat pumps
Biomass boilers	biomass boilers	biomass boilers
Biomass room heaters (including with radiators)	biomass room heaters (with radiators)	biomass room heaters (with radiators)
Cavity wall insulation	cavity wall insulation	
Chillers	chillers	
Cylinder thermostats	cylinder thermostats	
Draught proofing	draught proofing	
Duct insulation	duct insulation	
External wall insulation systems	external wall insulation systems	
Fan-assisted replacement storage heaters	fan-assisted storage heaters	
Flue gas heat recovery devices	flue gas heat recovery devices	
Gas-fired condensing boilers	gas-fired condensing boilers	
Ground source heat pumps	ground source heat pumps	ground source heat pumps
Heating controls (for wet central heating system and warm air sy	heating controls for wet central heating systems or warm air systems	
Heating controls (for wet central heating system and warm air system)	heating controls for wet central heating systems or warm air systems	
Heating ventilation and air-conditioning controls (including zon	heating ventilation and air-conditioning controls (including zoning controls)	
Heating ventilation and air-conditioning controls (including zoning controls)	heating ventilation and air-conditioning controls (including zoning controls)	
High performance external doors	high performance external doors	
Hot water controls (including timers and temperature control)	hot water controls (including timers and temperature controls)	
Hot water cylinder insulation	hot water cylinder insulation	
Hot water showers (efficient)	hot water showers	
Hot water systems (efficient)	hot water systems	
Hot water taps (efficient)	hot water taps	
Internal wall insulation (of external walls) systems	internal wall insulation systems (for external walls)	
Lighting systems, fittings and controls (including rooflights, l	lighting systems, fittings and controls (including rooflights, lamps and luminaires)	
Lighting systems, fittings and controls (including rooflights, lamps and luminaires)	lighting systems, fittings and controls (including rooflights, lamps and luminaires)	
Loft or rafter insulation (including loft hatch insulation)	loft or rafter insulation (including loft hatch insulation)	
Mechanical ventilation with heat recovery	mechanical ventilation with heat recovery systems	
Micro combined heat and power	micro combined heat and power	micro combined heat and power
Micro wind generation	micro wind generation	micro wind generation
Oil-fired conde	oil-fired condensing boilers	
Oil-fired condensing boilers	oil-fired condensing boilers	
Photovoltaics	photovoltaics	photovoltaics
Pipe-work insulation	pipework insulation	
Radiant heating	radiant heating	
Replacement glazing	replacement glazing	
Roof insulation	roof insulation	
Room in roof insulation	room in roof insulation	
Sealing improvements (including duct sealing)	sealing improvements (including duct sealing)	
Secondary glazing	secondary glazing	
	solar blinds, shutters and shading devices	
Solar water heating	solar water heating	solar water heating
Transpired solar collectors	transpired solar collectors	transpired solar collectors
Under-floor heating	under-floor heating	
Under-floor insulation	under-floor insulation	
	variable speed drives for fans and pumps	
Warm-air units	warm-air units	
Waste water heat recovery devices attached to showe	waste water heat recovery devices attached to showers	
Waste water heat recovery devices attached to showers	waste water heat recovery devices attached to showers	
Water	water source heat pumps	
Water source heat pumps	water source heat pumps	water source heat pumps
